date,product,category,quantity,unit_price,region,salesperson,total_revenue
2024-01-15,Laptop,Electronics,5,1200,North,Alice,6000
2024-01-22,Smartphone,Electronics,12,800,South,Bob,9600
2024-02-03,Tablet,Electronics,8,500,East,Charlie,4000
2024-02-14,Laptop,Electronics,3,1200,West,Diana,3600
2024-03-01,Smartphone,Electronics,15,800,North,Alice,12000
2024-03-15,Headphones,Accessories,25,150,South,Bob,3750
2024-04-02,Laptop,Electronics,7,1200,East,Charlie,8400
2024-04-18,Tablet,Electronics,10,500,West,Diana,5000
2024-05-05,Smartphone,Electronics,20,800,North,Alice,16000
2024-05-20,Headphones,Accessories,30,150,South,Bob,4500
2024-06-01,Laptop,Electronics,4,1200,East,Charlie,4800
2024-06-15,Tablet,Electronics,6,500,West,Diana,3000
